,Course ID,Course Title,Course Description,University,Location,Course Title Stripped,Minor Cluster,Minor Cluster Name,Major Cluster,Major Cluster Name
0,COMPSCI 532,Design and Analysis of Algorithms,"Design and analysis of efficient algorithms. Algorithmic paradigms. Applications include sorting, searching, dynamic structures, graph algorithms, randomized algorithms. Computationally hard problems. NP completeness. Prerequisites: Computer Science 201 and 330 or equivalent.",Duke,"Durham, North Carolina","design, analysis, algorithm",4,Algorithms,0,Math
1,CS 535,Design and Analysis of Algorithms,"Design of efficient algorithms for a variety of problems, with mathematical proof of correctness and analysis of time and space requirements. Topics include lower bounds for sorting and medians, amortized analysis of advanced data structures, graph algorithms (strongly connected components, shortest paths, minimum spanning trees, maximum flows and bipartite matching) and NP-Completeness.",Illinois Institute of Tech,"Chicago, Illinois ","design, analysis, algorithm",4,Algorithms,0,Math
2,EC EGNR 232E,Large-Scale Social and Complex Networks: Design and Algorithms,"Modeling and design of large-scale complex networks, including social networks, peer-to-peer file-sharing networks, World Wide Web, and gene networks. Modeling of characteristic topological features of complex networks, such as power laws and percolation threshold. Mining topology to design algorithms for various applications, such as e-mail spam detection, friendship recommendations, viral popularity, and epidemics. Introduction to network algorithms, computational complexity, and nondeterministic, polynomial-time completeness.",UCLA,"Los Angeles, California","design, algorithm",4,Algorithms,0,Math
3,CSC 482,Design & Analysis of Efficient Algorithms,"How does one design programs and ascertain their efficiency? Divide-and-conquer techniques, string processing, graph algorithms, mathematical algorithms. Advanced data structures such as balanced tree schemes. Introduction to NP-completeness and intractable combinatorial search, optimization, and decision problems.",University of Rochester,"Rochester, New York","design, analysis, algorithm",4,Algorithms,0,Math
4,CS 526,Algorithms,"This course is a graduate level introduction to the design and analysis of algorithms. Although we will review some undergraduate level material, we will instead emphasize reading and experimentation at a level appropriate for the initiation of research. This course will have both theoretical and practical content. As course highlights, students will be expected to implement and analyze the performance of a fundamental data structure, starting with a close reading of the original research paper.",Emory,"Atlanta, Georgia ",algorithm,4,Algorithms,0,Math
5,CS 430,Introduction to Algorithms,"Introduction to the design, behavior, and analysis of computer algorithms. Searching, sorting, and combinatorial algorithms are emphasized. Worst case, amortized, and expected bounds on time and space usage.",Illinois Institute of Tech,"Chicago, Illinois ",introduction,2,Visualization,6,Visualization
6,CS 5800,Algorithms,"Presents the mathematical techniques used for the design and analysis of computer algorithms. Focuses on algorithmic design paradigms and techniques for analyzing the correctness, time, and space complexity of algorithms. Topics may include asymptotic notation, recurrences, loop invariants, Hoare triples, sorting and searching, advanced data structures, lower bounds, hashing, greedy algorithms, dynamic programming, graph algorithms, and NP-completeness.",Northeastern,"Boston, Massachusetts",algorithm,4,Algorithms,0,Math
7,CME 309,Randomized Algorithms and Probabilistic Analysis,"Randomness pervades the natural processes around us, from the formation of networks, to genetic recombination, to quantum physics. Randomness is also a powerful tool that can be leveraged to create algorithms and data structures which, in many cases, are more efficient and simpler than their deterministic counterparts. This course covers the key tools of probabilistic analysis, and application of these tools to understand the behaviors of random processes and algorithms. Emphasis is on theoretical foundations, though we will apply this theory broadly, discussing applications in machine learning and data analysis, networking, and systems. Topics include tail bounds, the probabilistic method, Markov chains, and martingales, with applications to analyzing random graphs, metric embeddings, random walks, and a host of powerful and elegant randomized algorithms.",Stanford,"Stanford, California ","algorithm, analysis",4,Algorithms,0,Math
8,COMP 160,Algorithms,"Introduction to the study of algorithms. Strategies such as divide-and-conquer, greedy methods, and dynamic programming. Graph algorithms, sorting, searching, integer arithmetic, hashing, and NP-complete problems.",Tufts,"Medford, Massachusetts",algorithm,4,Algorithms,0,Math
9,CSE 633,Parallel Algorithms,"The course will focus on the design, implementation, and analysis of a parallel solution to an interesting problem on a state-of-the-art high-end computing system. The students will learn how to program contemporary shared-memory, distributed-memory, and GPGPU-based high-end computing systems. The course will also cover the design and analysis of fundamental parallel algorithms. Time and space complexity of solutions to problems from areas that include computational geometry, image analysis, and graph theory will be considered. Architectures include the PRAM, mesh, pyramid, mesh-of-trees, and hypercube.",University at Buffalo,"Buffalo, New York",algorithm,4,Algorithms,0,Math
10,COMPSCI 690AA,Approximation Algorithms,"Many important problems that arise in practical applications of discrete optimization are NP-hard. This implies no polynomial time algorithms exist for these problems unless P==NP. The field of approximation algorithms has developed to tackle this difficulty by designing polynomial time algorithms to solve otherwise intractable problems near-optimally. Approximation algorithms provide rigorous guarantees on approximation factors indicating how far the solution can be in the worst case. This paradigm has become a cornerstone in algorithm design, and this course aims to cover a comprehensive list of topics in this area at the graduate level. Towards the end of the course, we will also explore hardness of approximation : study of the best approximation factor possible in polynomial time. A tentative list of topics include: Techniques: Greedy algorithms, local search, dynamic programming, randomized methods, LP techniques, primal-dual method, lagrangian methods, semi-definite programming, metric method, hardness of approximation. Problems: Set cover, Vertex cover, TSP and other planning problems, Scheduling and Generalized assignment problems, Facility Location, Steiner tree and other network design problems, Sparsest cut, multicut and other graph partitioning problems, MaxSat, Graph coloring, Approximate counting, Algorithms on sequences etc.",University of Massachusetts--Amherst,"Amherst, Massachusetts","approximation, algorithm",4,Algorithms,0,Math
11,CSCI 570,Analysis of Algorithms,"Explores fundamental techniques such as recursion, Fourier transform ordering, dynamic programming for efficient algorithm construction. Examples include arithmetic, algebraic, graph, pattern matching, sorting, searching algorithms.",University of Southern California,"Los Angeles, California","analysis, algorithm",4,Algorithms,0,Math
12,COMPSCI 532,Design and Analysis of Algorithms,"Design and analysis of efficient algorithms. Algorithmic paradigms. Applications include sorting, searching, dynamic structures, graph algorithms, randomized algorithms. Computationally hard problems. NP completeness. Prerequisites: Computer Science 201 and 330 or equivalent.",Duke,"Durham, North Carolina","design, analysis, algorithm",4,Algorithms,0,Math
13,CS 535,Design and Analysis of Algorithms,"Design of efficient algorithms for a variety of problems, with mathematical proof of correctness and analysis of time and space requirements. Topics include lower bounds for sorting and medians, amortized analysis of advanced data structures, graph algorithms (strongly connected components, shortest paths, minimum spanning trees, maximum flows and bipartite matching) and NP-Completeness.",Illinois Institute of Tech,"Chicago, Illinois ","design, analysis, algorithm",4,Algorithms,0,Math
14,CS 557,Cyber-Physical Systems: Networking and Algorithms,"Cyber-physical systems (CPS) are engineered systems that are built from, and depend upon, the seamless integration of computation and physical components. CPS can form a unifying modeling framework for many different scientific and engineering problems. Examples include, but are not limited to, internet of things (IoT), building design, civil infrastructure, energy, healthcare and personalized medicine, manufacturing, and transportation. This course will teach various topics in cyber-physical systems security. The goal is to expose students to fundamental security principles specific to cyber-physical systems and to apply them to a broad range of current and future security challenges. Students will work with various tools and techniques used by hackers to compromise computer systems or otherwise interfere with normal operations. Students will undertake a semester-long research project with the goal of technical publications. Lecture topics will include, but not limited to: 1. Introduction to Cyber-Physical Systems 2. Control Systems and Operations 3. Cyber-Physical System Security History and Threats 4. Cyber-Physical System Design and Architecture 5. Critical infrastructure protection (e.g., Power Systems) 6. Security in Cyber-Physical Systems 7. Cyber-Resilience in Cyber-Physical Systems 8. Privacy in Cyber-Physical Systems.",Illinois Institute of Tech,"Chicago, Illinois ","networking, algorithm",4,Algorithms,0,Math
15,CS 513/514,Advanced Algorithms,This course goes beyond 198:513 in introducing the student to new concepts and techniques used in the study of algorithms. It is intended to serve students specializing in a number of different areas within computer science.,Rutgers,"New Brunswick, New Jersey",algorithm,4,Algorithms,0,Math
16,CME 305,Discrete Mathematics and Algorithms,"Topics: Basic Algebraic Graph Theory, Matroids and Minimum Spanning Trees, Submodularity and Maximum Flow, NP-Hardness, Approximation Algorithms, Randomized Algorithms, The Probabilistic Method, and Spectral Sparsification using Effective Resistances. Topics will be illustrated with applications from Distributed Computing, Machine Learning, and large-scale Optimization.",Stanford,"Stanford, California ",algorithm,4,Algorithms,0,Math
