Analyzer,University,City,State,Phone,Potential Data Science Masters URL,Has DS MS,,,
Ashton,American University,Washington,DC,(202) 885-1000,https://www.american.edu/spa/news/data-science-ms.cfm,,no,yes,Left
Ashton,Baylor University,Waco,TX,(800) 229-5678,https://www.baylor.edu/graduate/doc.php/288402.pdf,No,41,41,18
Ashton,Binghamton University--SUNY,Binghamton,NY,(607) 777-2000,https://www.binghamton.edu/som/docs/cv/ayayla.cv.pdf,,,,
Ashton,Boston College,Chestnut Hill,MA,(617) 552-8000,https://www.bc.edu/bc-web/schools/wcas/graduate/certificates.html,No,,,
Ashton,Boston University,Boston,MA,(617) 353-2000,https://www.bu.edu/cs/masters/program/cyber-security/alumni-profiles/,No,,,
Ashton,Brandeis University,Waltham,MA,(781) 736-2000,https://www.brandeis.edu/gsas/programs/math.html,,,,
Ashton,Brigham Young University--Provo,Provo,UT,(801) 422-4636,https://www.cs.utah.edu/docs/Faculty/Utah-Computing-Self-Study-(FINAL).pdf,,,,
Ashton,Brown University,Providence,RI,(401) 863-1000,https://www.brown.edu/initiatives/data-science/masters-degree,,,,
Ashton,California Institute of Technology,Pasadena,CA,(626) 395-6811,https://datascience.columbia.edu/meet-incoming-master%E2%80%99s-class,No,,,
Ashton,Carnegie Mellon University,Pittsburgh,PA,(412) 268-2000,https://www.cs.cmu.edu/masters-programs,Yes,,,
Ashton,Case Western Reserve University,Cleveland,OH,(216) 368-2000,http://engineering.case.edu/centers/sdle/node/60,No,,,
Ashton,Clark University,Worcester,MA,(508) 793-7711,https://web.wpi.edu/Images/CMS/Graduate/GradCat16-17-WEB-final.pdf,No,,,
Ashton,Clemson University,Clemson,SC,(864) 656-3311,https://www.clemson.edu/science/departments/math-stat/academics/combined-bachelors-masters-program.html,No,,,
Ashton,College of William and Mary,Williamsburg,VA,(757) 221-4000,https://gwtoday.gwu.edu/sites/g/files/zaxdzs1531/f/downloads/BigData%20report%202014%20for%20Web.pdf,yes,,,
Ashton,Colorado School of Mines,Golden,CO,(303) 273-3000,https://ams.mines.edu/graduate-programs/,yes,,,
Ashton,Columbia University,New York,NY,(212) 854-1754,https://datascience.columbia.edu/faq-admissions,yes,,,
Ashton,Cornell University,Ithaca,NY,1 (607) 254-4636,https://www.human.cornell.edu/hd/academics/graduate/masters,yes,,,
Ashton,Dartmouth College,Hanover,NH,(603) 646-1110,https://geiselmed.dartmouth.edu/news/2018/geisel-announces-new-master-of-science-degree-in-quantitative-epidemiology/,No,,,
Ashton,Duke University,Durham,NC,(919) 684-8111,https://datascience.duke.edu/,yes,,,
Ashton,Emory University,Atlanta,GA,(404) 727-6123,https://engineering.wayne.edu/data-analytics/about/new_student_orientation_-_data_science_business_analytics_program_-_august_11_2017_-_final.pdf,yes,,,
Ashton,Florida State University,Tallahassee,FL,1 (850) 644-2525,https://www.math.fsu.edu/finmath/FMF/QS20th2018.math,yes,,,
Ashton,Fordham University,Bronx,NY,(718) 817-1000,https://www.fordham.edu/info/25661/master_of_science_in_data_analytics/9052/ms_in_data_analytics_-_courses_and_degree_requirements/1,yes,,,
Ashton,George Washington University,Washington,DC,(202) 994-1000,https://graduate.seas.gwu.edu/masters-data-analytics,yes,,,
Ashton,Georgetown University,Washington,DC,(202) 687-0100,https://biomedicalprograms.georgetown.edu/masters-programs,yes,,,
Ashton,Georgia Institute of Technology,Atlanta,GA,(404) 894-2000,http://www.iisp.gatech.edu/masters-degree,yes,,,
Ashton,Harvard University,Cambridge,MA,(617) 495-1000,https://www.seas.harvard.edu/programs/graduate/applied-computation/master-of-science-in-data-science,yes,,,
Ashton,Howard University,Washington,DC,(202) 806-6100,http://shadygrove.umbc.edu/datascience/faculty.php,yes,,,
Ashton,Illinois Institute of Technology,Chicago,IL,(312) 567-3000,https://science.iit.edu/programs/professional-masters/master-data-science/people,yes,,,
Ashton,Indiana University--Bloomington,Bloomington,IN,(812) 855-4848,https://www.ils.indiana.edu/degrees.html,yes,,,
Ashton,Johns Hopkins University,Baltimore,MD,(410) 516-8000,https://engineering.jhu.edu/fields-of-study/data-science/,yes,,,
Ashton,Lehigh University,Bethlehem,PA,(610) 758-3000,https://hse.lehigh.edu/degrees/master-engineering,No,,,
Ashton,Loyola University Chicago,Chicago,IL,(773) 274-3000,http://www.luc.edu/quinlan/aboutquinlan/centerslabs/analyticslab/milestones/,yes,,,
Ashton,Marquette University,Milwaukee,WI,(800) 222-6544,https://www.marquette.edu/data/,?,,,
Alexa,Massachusetts Institute of Technology,Cambridge,MA,(617) 253-1000,http://news.mit.edu/2018/mitx-micromasters-program-statistics-and-data-science-opens-enrollment-0611,No,,,
Alexa,Miami University--Oxford,Oxford,OH,(513) 529-1809,http://miamioh.edu/_files/documents/about-miami/president/bot/ASA_05-05-16.pdf,No,,,
Alexa,Michigan State University,East Lansing,MI,1 (517) 355-1855,https://cmse.msu.edu/academics/graduate-program/ms-in-cmse/,No,,,
Alexa,New York University,New York,NY,(212) 998-1212,https://cds.nyu.edu/academics/ms-in-data-science/,Yes,,,
Alexa,North Carolina State University--Raleigh,Raleigh,NC,(919) 515-2011,https://grad.ncsu.edu/wp-content/uploads/2017/08/Graduate-Catalog-2016-2017.pdf,No,,,
Alexa,Northeastern University,Boston,MA,(617) 373-2000,https://www.northeastern.edu/graduate/program/master-of-science-in-data-science-5256/,Yes,,,
Alexa,Northwestern University,Evanston,IL,(847) 491-3741,https://sps.northwestern.edu/masters/data-science/,Yes,,,
Alexa,Ohio State University--Columbus,Columbus,OH,(614) 292-6446,http://gradschool.psu.edu/gradcouncil/2018-19-graduate-council-curriculum-reports/11-7-18-gccr/,No,,,
Alexa,Pennsylvania State University--University Park,,,(814) 865-4700,https://bulletins.psu.edu/graduate/programs/majors/statistics/#degreerequirementstext,No,,,
Alexa,Pepperdine University,Malibu,CA,(310) 506-4000,https://bschool.pepperdine.edu/masters-degree/,No,,,
Alexa,Princeton University,Princeton,NJ,(609) 258-3000,https://gradschool.princeton.edu/academics/fields-of-study,No,,,
Alexa,Purdue University--West Lafayette,West Lafayette,IN,1 (765) 494-4636,https://www.purdue.edu/gradschool/prospective/majors.html#D,No,,,
Alexa,Rensselaer Polytechnic Institute,Troy,NY,(518) 276-6000,https://admissions.rpi.edu/graduate/programs,No,,,
Alexa,Rice University,Houston,TX,(713) 348-0000,https://gps.rice.edu/programsofstudy,No ,,,
Alexa,Rutgers University--New Brunswick,New Brunswick,NJ,(732) 445-4636,https://www.cs.rutgers.edu/graduate/masters-program-in-data-science,Yes,,,
Alexa,Southern Methodist University,Dallas,TX,1 (214) 768-4357,https://datascience.smu.edu/academics/courses/,Yes,,,
Alexa,Stanford University,Stanford,CA,1 (650) 723-2300,https://statistics.stanford.edu/academics/ms-statistics-data-science,Yes ,,,
Alexa,Stevens Institute of Technology,Hoboken,NJ,(201) 216-5000,https://www.stevens.edu/schaefer-school-engineering-science/departments/mathematical-sciences/graduate-programs/data-science-masters-program,Yes ,,,
Alexa,Stony Brook University--SUNY,Stony Brook,NY,(631) 632-6000,https://www.stonybrook.edu/commcms/graduate-admissions/programs/,No,,,
Alexa,Syracuse University,Syracuse,NY,(315) 443-1870,https://ischoolonline.syr.edu/graduate-programs/applied-data-science/courses/,Yes ,,,
Alexa,Texas A&M University--College Station,College Station,TX,(979) 845-3211,http://catalog.tamu.edu/graduate/colleges-schools-interdisciplinary/science/statistics/analytics-ms/,No,,,
Alexa,Texas Christian University,Fort Worth,TX,(817) 257-7000,https://www.tcu.edu/academics/programs/?_ga=2.32324795.420888499.1553189447-762251650.1553189447,No,,,
Alexa,Tufts University,Medford,MA,(617) 628-5000,https://asegrad.tufts.edu/academics/explore-graduate-programs/data-science,Yes ,,,
Alexa,Tulane University,New Orleans,LA,(504) 865-5000,https://www.smu.edu/-/media/Site/Provost/Provost/PDF/Documents_Current/TaskForce2017/DataScienceTaskForce.pdf?la=en,No,,,
Alexa,University at Buffalo--SUNY,Buffalo,NY,(716) 645-2000,http://engineering.buffalo.edu/home/academics/grad/engineering-sciences.html#title_1312571351,Yes ,,,
Alexa,University of California--Berkeley,,,,http://guide.berkeley.edu/graduate/degree-programs/information-data-science/#mastersdegreerequirementstext,Yes ,,,
Alexa,University of California--Davis,Davis,CA,(530) 752-1011,https://statistics.ucdavis.edu/ms,No,,,
Alexa,University of California--Irvine,Irvine,CA,,https://grad.uci.edu/academics/degree-programs/academic-masters/StatisticsMS.php,No,,,
Alexa,University of California--Los Angeles,Los Angeles,CA,(310) 825-4321,https://www.msol.ucla.edu/data-science-engineering/,Yes ,,,
Alexa,University of California--Riverside,Riverside,CA,(951) 827-1012,https://engineeringonline.ucr.edu/data-science/,Yes ,,,
Alexa,University of California--San Diego,La Jolla,CA,(858) 534-2230,http://ece.ucsd.edu/graduate/graduate-admissions,Yes ,,,
Alexa,University of California--Santa Barbara,Santa Barbara,CA,(805) 893-8000,https://tmp.ucsb.edu/about/calendar/research-lecture-brian-uzzi,No,,,
Alexa,University of California--Santa Cruz,Santa Cruz,CA,,https://senate.ucsc.edu/senate-meetings/agendas-minutes/2014-2015/2015-april-22-meeting/1786%20-%20Silicon%20Valley%20Opportunities%20-%20SENATE%20%204-22-15%20FINAL.pdf,No,,,
Jim,University of Chicago,Chicago,IL,(773) 702-1234,https://galton.uchicago.edu/admissions/MastersDegree.shtml,,,,
Jim,University of Colorado--Boulder,Boulder,CO,,https://www.colorado.edu/amath/academics/professional-masters-program/specialization-statistics-and-data-science,Yes,,,
Jim,University of Connecticut,Storrs,CT,,http://datascience.uconn.edu/index.php/updates/15-our-online-certificate-program,No,,,
Jim,University of Delaware,Newark,DE,(302) 831-2792,http://grad.udel.edu/wp-content/uploads/2018/01/Master-of-Data-Science-Program-Policy-Document.pdf,Yes,,,
Jim,University of Denver,Denver,CO,(303) 871-2000,https://ritchieschool.du.edu/academics-education/gr-programs/ms-data-science,Yes,,,
Jim,University of Florida,Gainesville,FL,1 (352) 392-3261,https://datascience.columbia.edu/new-master%E2%80%99s-or-doctoral-data-scienceanalytics-programs-amstat-news,No,,,
Jim,University of Georgia,Athens,GA,(706) 542-3000,http://www.stat.uga.edu/masters,No,,,
Jim,University of Illinois--Urbana-Champaign,Champaign,IL,1 (217) 333-1000,https://cs.illinois.edu/academics/graduate/professional-mcs-program/online-master-computer-science-data-science,Yes,,,
Jim,University of Iowa,Iowa City,IA,(319) 335-3500,https://tippie.uiowa.edu/future-graduate-students/masters-programs/business-analytics,No,,,
Jim,University of Maryland--College Park,College Park,MD,(301) 405-1000,http://shadygrove.umbc.edu/datascience/programmaster.php,Yes,,,
